Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Score,User_Count,Rating
FIFA Soccer 08,X360,2007,Sports,Electronic Arts,0.31,0.89,0.01,0.14,1.35,7.9,57,E
Test Drive,PS2,2002,Racing,Atari,0.95,0.21,0.01,0.18,1.34,7.4,23,T
Devil May Cry 4,X360,2008,Action,Capcom,0.79,0.34,0.08,0.13,1.34,8,248,M
Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,Shooter,Ubisoft,0.66,0.44,0.04,0.21,1.34,7.9,93,M
Metroid: Other M,Wii,2010,Action,Nintendo,0.85,0.27,0.13,0.1,1.34,6.5,482,T
Crysis 2,X360,2011,Action,Electronic Arts,0.71,0.49,0.02,0.12,1.34,7.5,533,M
Chrono Trigger,DS,2008,Role-Playing,Square Enix,0.61,0.16,0.49,0.08,1.34,8.9,440,E10+
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,Fighting,Capcom,0.81,0.28,0.11,0.14,1.34,7.3,147,T
Doom 3,XB,2005,Shooter,Activision,0.85,0.43,0,0.06,1.34,7.4,116,M
Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft,0.77,0.45,0,0.12,1.34,6.9,252,M
F1 2010,PS3,2010,Racing,Codemasters,0.25,0.75,0.08,0.26,1.34,7.8,83,E
Monster Hunter Freedom,PSP,2005,Role-Playing,Capcom,0.24,0.03,1.03,0.04,1.34,8.6,78,T
Donkey Kong Jungle Beat,GC,2004,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34,8.3,30,E10+
Need for Speed Carbon,PS2,2006,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34,8.4,60,E10+
Lost Planet: Extreme Condition,X360,2006,Shooter,Capcom,1.09,0.04,0.1,0.1,1.34,7.1,187,T
NBA 2K15,PS3,2014,Sports,Take-Two Interactive,0.87,0.21,0.02,0.24,1.34,3.5,22,E
Max Payne 2: The Fall of Max Payne,PS2,2003,Shooter,Take-Two Interactive,0.65,0.51,0,0.17,1.34,8.2,63,M
Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts,0.76,0.35,0.05,0.18,1.34,8.1,203,T
MVP Baseball 2004,PS2,2004,Sports,Electronic Arts,1.1,0.06,0,0.18,1.34,8.6,51,E
Alan Wake,X360,2010,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,8.1,1156,T
Metroid Prime 2: Echoes,GC,2004,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33,8.8,279,T
Corvette,PS2,2004,Racing,TDK Mediactive,0.65,0.51,0,0.17,1.33,6.5,21,E
WWE SmackDown vs Raw 2008,PS3,2007,Fighting,THQ,0.62,0.49,0.01,0.2,1.33,7.3,41,T
Skylanders SWAP Force,X360,2013,Platform,Activision,0.86,0.34,0,0.12,1.32,5.7,45,E10+
Grand Theft Auto: Chinatown Wars,DS,2009,Action,Take-Two Interactive,0.58,0.56,0.05,0.14,1.32,8.3,280,M
UFC Undisputed 2010,X360,2010,Fighting,THQ,0.9,0.31,0,0.11,1.32,6.7,80,T
World of Warcraft: Wrath of the Lich King,PC,2008,Role-Playing,Activision,0.01,0.13,0,1.18,1.32,7.5,930,T
NFL 2K3,PS2,2002,Sports,Atari,1.06,0.08,0,0.18,1.32,7.4,25,E
Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32,7.2,318,M
Your Shape: Fitness Evolved,X360,2010,Sports,Ubisoft,0.79,0.41,0,0.11,1.32,7.5,25,E
Need for Speed Underground Rivals,PSP,2005,Racing,Electronic Arts,0.69,0.37,0.02,0.24,1.32,8.5,38,E
IHRA Drag Racing 2,PS2,2002,Racing,Bethesda Softworks,0.64,0.5,0,0.17,1.31,7.4,63,E
Rage,PS3,2011,Shooter,Bethesda Softworks,0.47,0.58,0.06,0.2,1.31,6.2,353,M
LEGO Harry Potter: Years 1-4,PS3,2010,Action,Warner Bros. Interactive Entertainment,0.55,0.55,0,0.21,1.31,8,52,E10+
Madagascar,PS2,2005,Platform,Activision,0.78,0.45,0,0.07,1.31,7.4,25,E10+
The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,0.69,0.5,0,0.11,1.31,9.2,3963,M
Turok: Evolution,PS2,2002,Shooter,Acclaim Entertainment,0.64,0.5,0,0.17,1.31,7.3,27,M
[Prototype],X360,2009,Action,Activision,0.84,0.35,0,0.12,1.31,7.8,356,M
Burnout 3: Takedown,XB,2004,Racing,Electronic Arts,0.84,0.43,0,0.04,1.31,7.2,139,T
The Beatles: Rock Band,X360,2009,Misc,MTV Games,0.97,0.23,0,0.11,1.3,8.6,127,T
NBA Live 07,PS2,2006,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3,6,39,E
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3,8.5,376,E
Skylanders Giants,X360,2012,Action,Activision,0.75,0.44,0,0.11,1.3,6.6,38,E10+
SingStar '80s,PS2,2005,Misc,Sony Computer Entertainment,0.27,0.02,0,1.02,1.3,8.3,6,T
Tekken 6,X360,2009,Fighting,Namco Bandai Games,0.71,0.41,0.05,0.12,1.3,7,132,T
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,0.62,0.56,0,0.11,1.3,6.1,402,M
Far Cry 4,PS3,2014,Shooter,Ubisoft,0.34,0.68,0.08,0.19,1.29,7.3,113,M
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,0.5,0.16,0.58,0.05,1.29,8.2,25,E
LEGO Batman: The Videogame,PS3,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.39,0,0.19,1.29,7.7,33,E10+
Crysis 2,PS3,2011,Action,Electronic Arts,0.46,0.56,0.06,0.21,1.29,7.2,406,M
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive,0.93,0.34,0,0.02,1.29,6.2,5,E
Namco Museum DS,DS,2007,Misc,Atari,1.13,0.01,0.06,0.09,1.29,5.9,8,E
Deal or No Deal,Wii,2009,Misc,Zoo Games,1.2,0,0,0.09,1.29,5,5,E
Transformers,PS2,2004,Shooter,Atari,0.63,0.49,0,0.16,1.29,8.6,27,T
Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,0.12,1.29,7.8,387,M
Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.51,0.67,0,0.1,1.29,5.4,7512,M
Sonic Colors,DS,2010,Platform,Sega,0.69,0.47,0.01,0.12,1.29,7.9,66,E
Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,7.5,292,M
EA Playground,Wii,2007,Sports,Electronic Arts,0.68,0.47,0,0.13,1.29,7.6,30,E
Gold's Gym: Cardio Workout,Wii,2008,Sports,Ubisoft,1.1,0.03,0.06,0.09,1.28,8.4,13,E
The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks,0.78,0.38,0,0.12,1.28,8.4,613,M
Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment,0.63,0.49,0,0.16,1.28,8.4,57,T
LEGO Batman: The Videogame,PSP,N/A,Action,Warner Bros. Interactive Entertainment,0.57,0.44,0,0.27,1.28,7.4,10,E10+
Manhunt,PS2,2003,Action,Take-Two Interactive,0.63,0.49,0,0.16,1.28,8.3,136,M
Need for Speed Carbon,Wii,2006,Racing,Electronic Arts,0.45,0.66,0.02,0.15,1.28,7.3,26,E10+
Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment,0.62,0.49,0,0.16,1.28,8.9,557,M
Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,9.4,358,T
Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1.03,0.14,0,0.1,1.27,7.2,19,T
The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.47,0,0.11,1.27,7.2,26,E10+
The Sims 2: Nightlife,PC,2005,Simulation,Electronic Arts,1.22,0.05,0,0,1.27,6.6,71,T
Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,0.4,0.33,0.4,0.15,1.27,8.1,1107,T
Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.27,8.7,487,E10+
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,0.44,0.29,0.47,0.07,1.27,6.3,134,E
LEGO Batman: The Videogame,PS2,2008,Action,Warner Bros. Interactive Entertainment,0.72,0.03,0,0.52,1.27,8.9,17,E10+
NBA 2K9,X360,2008,Sports,Take-Two Interactive,1,0.16,0,0.11,1.27,7.2,44,E
Tony Hawk's Underground,XB,2003,Sports,Activision,0.85,0.37,0,0.05,1.27,9.1,26,T
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27,6.2,1311,M
.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,8.5,60,T
Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,0.96,0.2,0,0.11,1.27,2,23,E
Valkyria Chronicles,PS3,2008,Role-Playing,Sega,0.71,0.19,0.24,0.13,1.27,8.6,433,T
WWE '12,X360,2011,Fighting,THQ,0.74,0.4,0,0.12,1.27,6.3,89,T
Sonic Adventure DX: Director's Cut,GC,2003,Platform,Sega,0.87,0.3,0.06,0.03,1.27,7.9,139,E
Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27,6.3,4,T
WWE '13,X360,2012,Action,THQ,0.72,0.44,0,0.11,1.27,8,110,T
Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix,0.43,0.36,0.32,0.16,1.27,8.5,332,T
Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,0.33,0.69,0.05,0.19,1.27,4.9,123,E10+
EA Sports Active 2,Wii,2010,Sports,Electronic Arts,0.76,0.39,0,0.11,1.26,8.1,22,E
Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,0.39,0.72,0,0.15,1.26,5.8,21,E
Football Manager 2011,PC,2010,Sports,Sega,0,1.01,0,0.25,1.26,8.4,77,E
Tamagotchi Connection: Corner Shop,DS,2005,Simulation,Atari,0.1,0.02,1.12,0.01,1.26,7.7,6,E
Tomb Raider: Underworld,PS3,2008,Action,Eidos Interactive,0.45,0.55,0.05,0.22,1.26,7.2,166,T
LEGO Battles,DS,2009,Strategy,Warner Bros. Interactive Entertainment,0.77,0.37,0,0.11,1.25,8.9,51,E
NBA Live 2001,PS,2000,Sports,Electronic Arts,0.7,0.47,0,0.08,1.25,8,6,E
Saints Row IV,PS3,2013,Action,Deep Silver,0.56,0.41,0.09,0.19,1.25,6.3,278,M
Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts,0.49,0,0.01,0.75,1.25,7.4,33,T
Watch Dogs,X360,2014,Action,Ubisoft,0.72,0.41,0.01,0.11,1.25,5,332,M
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Shooter,Sony Computer Entertainment,0.94,0.16,0.02,0.13,1.25,6.9,223,M
Need for Speed: Most Wanted,X360,2005,Racing,Electronic Arts,1,0.13,0.02,0.1,1.25,8.5,134,T
Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25,8.3,74,E
Black,PS2,2006,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25,8.4,194,M
Tom Clancy's Rainbow Six: Vegas,PS3,2007,Shooter,Ubisoft,0.47,0.53,0.03,0.22,1.25,7.6,81,M
LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,0.35,0.61,0.02,0.27,1.25,8.6,348,E
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.48,0.35,0.34,0.08,1.25,8.8,190,E
RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1.19,0.05,0,0,1.25,8.5,135,E
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,0.61,0.48,0,0.16,1.25,6.2,106,T
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,0.52,0.56,0,0.17,1.25,8.6,34,T
Ratchet: Deadlocked,PS2,2005,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24,8.9,155,T
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,0.45,0.67,0,0.12,1.24,6.8,4,E
Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,Virgin Interactive,0.61,0.48,0,0.16,1.24,8.3,90,T
Oddworld: Abe's Oddysee,PS,1997,Platform,GT Interactive,0.75,0.44,0,0.06,1.24,9,96,T
Ridge Racer V,PS2,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24,7.7,6,E
WWE SmackDown vs. Raw 2009,PS2,2008,Fighting,THQ,0.69,0,0,0.55,1.24,6.9,34,T
LEGO Harry Potter: Years 5-7,Wii,N/A,Action,Warner Bros. Interactive Entertainment,0.69,0.42,0,0.12,1.24,7.8,13,E10+
Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision,0.82,0.38,0,0.04,1.24,8.1,54,T
[Prototype],PS3,2009,Action,Activision,0.65,0.4,0,0.19,1.24,7.7,308,M
FIFA Street,PS3,2012,Sports,Electronic Arts,0.12,0.89,0,0.23,1.23,6.4,66,E
Frogger: The Great Quest,PS2,2001,Platform,Konami Digital Entertainment,0.6,0.47,0,0.16,1.23,4.6,29,E
Madden NFL 17,XOne,2016,Sports,Electronic Arts,1.08,0.02,0,0.13,1.23,5.9,39,E
Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23,8.8,152,M
Crash Bandicoot: The Wrath of Cortex,XB,2002,Platform,Universal Interactive,0.59,0.57,0,0.07,1.23,8.1,19,E
Driv3r,PS2,2004,Racing,Atari,0.6,0.47,0,0.16,1.23,5.5,102,M
Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,0.43,0.47,0.05,0.28,1.23,7.2,69,M
LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment,0.64,0.49,0,0.11,1.23,8.5,73,E10+
SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003,Platform,THQ,0.88,0.33,0,0.02,1.23,7.3,6,E
Hyrule Warriors,WiiU,2014,Action,Nintendo,0.58,0.42,0.13,0.1,1.23,8.3,662,T
Donkey Kong Country 2,GBA,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23,9.1,37,E
Guitar Hero: Aerosmith,X360,2008,Misc,Activision,1,0.13,0,0.1,1.23,6.7,48,T
Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,0.49,0.5,0.03,0.2,1.23,7.3,42,E10+
Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,0.54,0.55,0,0.13,1.23,7.7,9,E10+
2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,7.8,57,E
Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,0.29,0.18,0.67,0.09,1.22,8.2,468,T
Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1.09,0.03,0,0.09,1.22,7.5,27,E
Mario Power Tennis,GC,2004,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22,8.5,48,E
Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22,9.5,150,E
Max Payne,XB,2001,Shooter,Take-Two Interactive,0.98,0.19,0,0.05,1.22,8.3,61,M
NBA 2K2,PS2,2002,Sports,Sega,0.59,0.46,0.01,0.15,1.22,7.8,16,E
NASCAR Thunder 2003,PS2,N/A,Racing,Unknown,0.6,0.46,0,0.16,1.22,8.7,17,E
Cars,PS2,2006,Racing,THQ,1.01,0.04,0,0.16,1.21,8.4,12,E
Fuzion Frenzy,XB,2001,Misc,Microsoft Game Studios,0.93,0.24,0,0.04,1.21,6.9,16,E
Call of Duty: Finest Hour,XB,2004,Shooter,Activision,0.78,0.4,0,0.04,1.21,7.8,22,T
Final Fantasy IV,DS,2007,Simulation,Square Enix,0.51,0.04,0.62,0.05,1.21,7.7,164,E10+
Star Wars: Battlefront II,PSP,2005,Shooter,LucasArts,1.05,0.05,0.01,0.1,1.21,8.5,111,T
Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,0.55,0.44,0.14,0.09,1.21,8.1,206,T
Sly Cooper and the Thievius Raccoonus,PS2,2002,Platform,Sony Computer Entertainment,1.03,0.14,0,0.04,1.21,8.6,184,E
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.41,0.6,0,0.2,1.21,7.4,237,T
Dino Crisis 2,PS,2000,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21,9,91,M
Need for Speed Underground,GC,2003,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21,9,45,E
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,Namco Bandai Games,0.42,0.46,0.15,0.18,1.21,8.3,130,T
Medal of Honor: Airborne,PS3,2007,Shooter,Electronic Arts,0.25,0.69,0.03,0.25,1.21,7.6,39,T
Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.21,5.1,299,M
Bayonetta,PS3,2009,Action,Sega,0.44,0.39,0.21,0.16,1.21,7.7,355,M
Boom Blox,Wii,2008,Puzzle,Electronic Arts,0.71,0.38,0,0.12,1.21,8.6,105,E
The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,Black Label Games,0.59,0.46,0,0.15,1.2,5.1,20,T
The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,0.44,0.63,0,0.14,1.2,8.2,10,T
ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1,0.04,0,0.16,1.2,8.4,16,E
F1 2011,PS3,2011,Racing,Codemasters,0.12,0.74,0.11,0.24,1.2,7.1,55,E
Pikmin 2,GC,2004,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2,9.1,137,E
Enter the Matrix,XB,2003,Action,Atari,0.72,0.43,0.01,0.04,1.2,7.1,75,T
Cars,PSP,2006,Racing,THQ,0.72,0.28,0,0.2,1.2,7,4,E
NHL 2002,PS2,2001,Sports,Electronic Arts,0.59,0.46,0,0.15,1.2,8.5,26,E
FIFA Soccer 11,PSP,2010,Sports,Electronic Arts,0.13,0.69,0.01,0.36,1.2,5.4,9,E
The Simpsons: Road Rage,GBA,2003,Racing,THQ,0.86,0.32,0,0.02,1.19,6.8,9,E
LEGO Batman 2: DC Super Heroes,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.5,0.5,0,0.19,1.19,7.5,81,E10+
Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,0.53,0.38,0.19,0.09,1.19,8.6,377,E
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002,Platform,THQ,0.92,0.23,0,0.04,1.19,7.7,7,E
Pro Evolution Soccer 2008,Wii,2008,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19,8.4,43,E
Destiny: The Taken King,XOne,2015,Shooter,Activision,0.85,0.23,0,0.12,1.19,5.2,393,T
Scarface: The World is Yours,PS2,2006,Action,Vivendi Games,0.99,0.04,0,0.16,1.19,8.6,113,M
Hitman 2: Silent Assassin,XB,N/A,Action,Eidos Interactive,0.76,0.38,0,0.05,1.19,8,19,M
WWE SmackDown vs Raw 2008,PSP,2007,Fighting,THQ,0.45,0.47,0,0.28,1.19,7.8,15,T
Spider-Man: The Movie,GC,2002,Action,Activision,0.86,0.27,0.01,0.04,1.19,7.3,11,E
Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Puzzle,Nintendo,0.73,0.03,0.36,0.07,1.19,7.9,17,E
Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami Digital Entertainment,0.38,0.35,0.38,0.08,1.18,8.2,147,M
Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment,0.48,0.5,0.01,0.2,1.18,7.9,282,T
Shenmue,DC,1999,Adventure,Sega,0.52,0.24,0.38,0.04,1.18,9.4,201,T
Just Dance 4,X360,2012,Misc,Ubisoft,0.9,0.19,0,0.09,1.18,7.7,36,E10+
Tony Hawk's Pro Skater 2,GBA,2001,Sports,Activision,0.85,0.31,0,0.02,1.18,7.5,22,E
One Piece: Pirate Warriors,PS3,2012,Action,Namco Bandai Games,0.01,0.23,0.86,0.08,1.18,6.5,55,T
Gun,PS2,2005,Shooter,Activision,0.98,0.04,0,0.16,1.17,8.7,70,M
Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts,0.57,0.45,0,0.15,1.17,8.8,60,E
Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,0.48,0.24,0.36,0.1,1.17,4.9,222,M
LEGO Indiana Jones: The Original Adventures,PSP,2008,Action,LucasArts,0.4,0.48,0,0.29,1.17,7.6,11,E10+
Pok̩Park Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,0.53,0.16,0.42,0.06,1.17,7.2,36,E
WWE '12,PS3,2011,Fighting,THQ,0.53,0.45,0.02,0.17,1.17,6.9,80,T
Cabela's Dangerous Hunts,PS2,2003,Sports,Zoo Digital Publishing,0.57,0.45,0,0.15,1.17,8.4,37,T
Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.39,0.69,0,0.09,1.17,7.9,3756,M
Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks,0.59,0.45,0,0.14,1.17,8.6,2754,M
WWE SmackDown vs. Raw 2010,PS3,2009,Fighting,THQ,0.48,0.48,0.01,0.2,1.17,8.1,55,T
Medal of Honor: Rising Sun,XB,2003,Shooter,Electronic Arts,0.76,0.36,0,0.05,1.17,5.8,28,T
Army of Two,PS3,2008,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17,7.3,118,M
Spore,PC,2008,Strategy,Electronic Arts,0.03,1.06,0,0.08,1.17,5.3,1711,E10+
Mario vs. Donkey Kong,GBA,2004,Puzzle,Nintendo,0.68,0.25,0.21,0.02,1.17,8,31,E
LEGO Star Wars III: The Clone Wars,PS3,2011,Action,LucasArts,0.52,0.46,0,0.19,1.16,7.3,34,E10+
Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,0.97,0.04,0,0.16,1.16,8.9,53,E10+
Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Shooter,Ubisoft,0.57,0.44,0,0.15,1.16,6.3,24,T
Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16,7.9,16,T
Mirror's Edge,X360,2008,Platform,Electronic Arts,0.51,0.51,0.01,0.13,1.16,7.6,328,T
Sonic the Hedgehog,PS3,2006,Platform,Sega,0.41,0.06,0.04,0.66,1.16,4.1,176,E10+
NASCAR Thunder 2002,PS2,2001,Racing,Electronic Arts,0.57,0.44,0,0.15,1.16,8.5,22,E
Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft,0.7,0.36,0,0.1,1.16,7.6,21,E
FIFA 14,XOne,2013,Sports,Electronic Arts,0.41,0.66,0,0.09,1.16,5.8,328,E
Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,0.45,0.24,0.3,0.16,1.16,8,238,T
Sniper: Ghost Warrior,X360,2010,Shooter,City Interactive,0.54,0.5,0,0.12,1.16,5.8,89,M
Sonic Rush Adventure,DS,2007,Platform,Sega,0.53,0.48,0.01,0.12,1.15,8.2,66,E
Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,0,1.14,0,0.01,1.15,8.1,30,E
Gauntlet: Dark Legacy,PS2,2001,Action,Midway Games,0.56,0.44,0,0.15,1.15,8.3,30,T
Medal of Honor Heroes 2,PSP,2007,Shooter,Electronic Arts,0.5,0.39,0.02,0.25,1.15,7.3,30,T
Bad Boys: Miami Takedown,PS2,2004,Shooter,Empire Interactive,0.56,0.44,0,0.15,1.15,3.4,13,M
Medal of Honor: Warfighter,X360,2012,Action,Electronic Arts,0.59,0.45,0.01,0.1,1.15,5.4,437,M
FIFA Soccer 10,PSP,2009,Sports,Electronic Arts,0.15,0.67,0.01,0.31,1.15,7.9,14,E
Donkey Konga,GC,2003,Misc,Nintendo,0.5,0.16,0.46,0.03,1.15,8.3,21,E
Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,0,1.12,0,0.03,1.15,8.5,2360,M
Tak and the Power of Juju,PS2,2003,Platform,THQ,0.56,0.44,0,0.15,1.15,9,28,E
WWE 2K15,PS4,2014,Sports,Take-Two Interactive,0.39,0.57,0,0.19,1.15,5.1,164,T
Tenchu: Wrath of Heaven,PS2,2003,Action,Activision,0.44,0.34,0.25,0.11,1.14,8.4,38,M
Shadow of the Colossus,PS2,2005,Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14,9.1,933,T
Brave Fencer Musashi,PS,1998,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07,1.14,8.5,17,E
Ninja Gaiden Sigma,PS3,2007,Action,Eidos Interactive,0.57,0.32,0.09,0.16,1.14,7.5,155,M
WWE 2K14,PS3,2013,Sports,Take-Two Interactive,0.49,0.46,0,0.19,1.14,7.5,121,T
Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14,7.1,50,E10+
007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,6.6,47,T
Dance Dance Revolution Extreme 2,PS2,2005,Simulation,Konami Digital Entertainment,0.95,0.04,0,0.16,1.14,9,21,E10+
The Lord of the Rings: The Return of the King,XB,2003,Action,Electronic Arts,0.71,0.38,0,0.05,1.14,9.1,31,T
Hot Shots Golf: Out of Bounds,PS3,2007,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,1.14,8.8,32,E
Red Dead Redemption: Undead Nightmare,PS3,2010,Action,Take-Two Interactive,0.45,0.45,0.06,0.18,1.14,7.4,17,M
Sunset Overdrive,XOne,2014,Shooter,Microsoft Game Studios,0.63,0.4,0,0.1,1.14,7.7,1137,M
Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,Simulation,Atari,0.12,0.1,0.88,0.03,1.14,8.8,32,T
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14,8.2,201,T
MechAssault,XB,2002,Simulation,Microsoft Game Studios,1.01,0.1,0,0.03,1.13,8,47,T
Cars,GBA,2006,Racing,THQ,0.81,0.3,0,0.02,1.13,4.7,6,E
Watch Dogs 2,PS4,2016,Action,Ubisoft,0.37,0.58,0,0.18,1.13,7.8,621,M
LEGO Star Wars III: The Clone Wars,3DS,2011,Action,LucasArts,0.61,0.43,0,0.09,1.13,6.1,31,E10+
Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004,Shooter,Ubisoft,0.99,0.12,0,0.02,1.13,8.6,14,M
Mirror's Edge,PS3,2008,Platform,Electronic Arts,0.31,0.58,0.02,0.22,1.13,7.8,362,T
Guitar Hero 5,X360,2009,Misc,Activision,0.65,0.37,0,0.11,1.13,6.8,108,T
Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,8.1,795,M
Fantasy Life,3DS,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13,8.6,209,E10+
SingStar,PS3,2007,Misc,Sony Computer Entertainment,0.45,0.56,0,0.12,1.13,5.9,15,T
